Province,Gender,Age,Income,Value
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $100,000 and over (5)",3780
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $150,000 and over (5)",1090
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $200,000 and over (5)",500
Prince Edward Island,Both sexes,"All age groups (4,10)","Persons with income of $250,000 and over (5)",280
Prince Edward Island,Both sexes,"0 to 24 years (4,10)",Total persons with income (5),14050
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",3050
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",11000
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",7810
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",5530
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",3830
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",2520
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",1130
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",340
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",80
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",20
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Prince Edward Island,Both sexes,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Prince Edward Island,Both sexes,25 to 34 years (4),Total persons with income (5),15090
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income under $5,000 (5)",760
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $5,000 and over (5)",14330
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $10,000 and over (5)",13540
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $15,000 and over (5)",12530
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $20,000 and over (5)",11240
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $25,000 and over (5)",9670
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $35,000 and over (5)",6410
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $50,000 and over (5)",3030
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $75,000 and over (5)",740
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $100,000 and over (5)",270
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $150,000 and over (5)",50
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $200,000 and over (5)",20
Prince Edward Island,Both sexes,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
Prince Edward Island,Both sexes,35 to 44 years (4),Total persons with income (5),17000
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income under $5,000 (5)",670
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $5,000 and over (5)",16340
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $10,000 and over (5)",15680
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $15,000 and over (5)",14890
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $20,000 and over (5)",13990
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $25,000 and over (5)",12720
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $35,000 and over (5)",9700
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $50,000 and over (5)",5700
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $75,000 and over (5)",2040
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $100,000 and over (5)",810
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $150,000 and over (5)",190
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $200,000 and over (5)",80
Prince Edward Island,Both sexes,35 to 44 years (4),"Persons with income of $250,000 and over (5)",50
Prince Edward Island,Both sexes,45 to 54 years (4),Total persons with income (5),20690
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income under $5,000 (5)",860
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $5,000 and over (5)",19830
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $10,000 and over (5)",18850
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $15,000 and over (5)",17750
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $20,000 and over (5)",16500
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $25,000 and over (5)",14850
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $35,000 and over (5)",11250
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $50,000 and over (5)",6710
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $75,000 and over (5)",2750
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $100,000 and over (5)",1200
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $150,000 and over (5)",360
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $200,000 and over (5)",150
Prince Edward Island,Both sexes,45 to 54 years (4),"Persons with income of $250,000 and over (5)",70
Prince Edward Island,Both sexes,55 to 64 years (4),Total persons with income (5),19660
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income under $5,000 (5)",1080
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $5,000 and over (5)",18580
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $10,000 and over (5)",17200
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $15,000 and over (5)",15780
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $20,000 and over (5)",14480
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $25,000 and over (5)",12940
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $35,000 and over (5)",9720
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $50,000 and over (5)",5510
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $75,000 and over (5)",2220
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $100,000 and over (5)",1050
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $150,000 and over (5)",330
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $200,000 and over (5)",160
Prince Edward Island,Both sexes,55 to 64 years (4),"Persons with income of $250,000 and over (5)",100
Prince Edward Island,Both sexes,65 years and over,Total persons with income (5),23660
Prince Edward Island,Both sexes,65 years and over,"Persons with income under $5,000 (5)",120
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $5,000 and over (5)",23540
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $10,000 and over (5)",22640
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $15,000 and over (5)",19740
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $20,000 and over (5)",13840
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $25,000 and over (5)",10730
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $35,000 and over (5)",6850
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $50,000 and over (5)",3290
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $75,000 and over (5)",1020
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $100,000 and over (5)",430
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $150,000 and over (5)",170
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $200,000 and over (5)",90
Prince Edward Island,Both sexes,65 years and over,"Persons with income of $250,000 and over (5)",50
Prince Edward Island,Males,"All age groups (4,10)",Total persons with income (5),52640
Prince Edward Island,Males,"All age groups (4,10)","Persons with income under $5,000 (5)",2800
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $5,000 and over (5)",49840
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $10,000 and over (5)",46880
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $15,000 and over (5)",43270
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $20,000 and over (5)",38320
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $25,000 and over (5)",34060
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $35,000 and over (5)",25310
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $50,000 and over (5)",14700
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $75,000 and over (5)",5950
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $100,000 and over (5)",2840
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $150,000 and over (5)",860
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $200,000 and over (5)",390
Prince Edward Island,Males,"All age groups (4,10)","Persons with income of $250,000 and over (5)",220
Prince Edward Island,Males,"0 to 24 years (4,10)",Total persons with income (5),7080
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",1480
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",5590
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",4200
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",3150
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",2350
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",1670
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",820
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",260
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",70
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",20
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Prince Edward Island,Males,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Prince Edward Island,Males,25 to 34 years (4),Total persons with income (5),7140
Prince Edward Island,Males,25 to 34 years (4),"Persons with income under $5,000 (5)",340
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $5,000 and over (5)",6800
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $10,000 and over (5)",6500
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $15,000 and over (5)",6100
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $20,000 and over (5)",5590
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $25,000 and over (5)",4970
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $35,000 and over (5)",3520
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $50,000 and over (5)",1760
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $75,000 and over (5)",560
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $100,000 and over (5)",230
Prince Edward Island,Males,25 to 34 years (4),"Persons with income of $150,000 and over (5)",40
